run_id,created_at,command,config,parameter,values,selection_metric,train_periods,test_periods,row_count,overall_cumulative_return,artifact_dir,results_path,report_path,metadata_path
20260422T162250793801Z-sweep-signal-lookback,2026-04-22T16:22:50Z,sweep-signal,configs/momentum_example.toml,lookback,"1,2,3",,,,3,,artifacts/showcase_runs/20260422T162250793801Z-sweep-signal-lookback,artifacts/showcase_runs/20260422T162250793801Z-sweep-signal-lookback/results.csv,artifacts/showcase_runs/20260422T162250793801Z-sweep-signal-lookback/report.txt,artifacts/showcase_runs/20260422T162250793801Z-sweep-signal-lookback/metadata.json
20260422T162251814870Z-walk-forward-signal-lookback,2026-04-22T16:22:51Z,walk-forward-signal,configs/momentum_example.toml,lookback,"1,2,3",cumulative_return,4.0,2.0,3,0.1057692307692304,artifacts/showcase_runs/20260422T162251814870Z-walk-forward-signal-lookback,artifacts/showcase_runs/20260422T162251814870Z-walk-forward-signal-lookback/results.csv,artifacts/showcase_runs/20260422T162251814870Z-walk-forward-signal-lookback/report.txt,artifacts/showcase_runs/20260422T162251814870Z-walk-forward-signal-lookback/metadata.json
