run_id,created_at,command,config,parameter,candidate_values,selection_metric,row_count,artifact_dir,summary_parameter_values,summary_scope,summary_cumulative_return,summary_sharpe_ratio,summary_mean_ic
20260422T162251814870Z-walk-forward-signal-lookback,2026-04-22T16:22:51Z,walk-forward-signal,configs/momentum_example.toml,lookback,"1,2,3",cumulative_return,3,artifacts/showcase_runs/20260422T162251814870Z-walk-forward-signal-lookback,2,overall_out_of_sample,0.1057692307692304,70.87538432951156,0.6427465116535497
20260422T162250793801Z-sweep-signal-lookback,2026-04-22T16:22:50Z,sweep-signal,configs/momentum_example.toml,lookback,"1,2,3",,3,artifacts/showcase_runs/20260422T162250793801Z-sweep-signal-lookback,2,best_in_sample_candidate,0.1159519697535473,20.713719233169975,0.6393658808056472
